misspelt_name,country,corrected,id
Beleer,United Kingdom,Belper,2655942
Sari,Iran,Sari,116996
Nuono,Italy,Nuoro,3172154
Greqnjield,United States,Greenfield,4258285	 4938378	 5255068	 5354172
Illhpel,Chile,Illapel,3887344
Seqtânia,Brazil,Sertânia,3387663
Itimādhur,India,Itimādpur,1269646
Yaucd,Puerto Rico,Yauco,4568917
Srn Ignacix,Belize,San Ignacio,3581194
La Barja,Mexico,La Barca,4003526
Nāsrijanj,India,Nāsriganj,1261722
Perdut,Indonesia,Percut,1214189
corigliaoo Scalw,Italy,Corigliano Scalo,9003711
Salernc,Italy,Salerno,3168673
wďwb nad Sázavou,Czech Republic,Žďár nad Sázavou,3061695
Cadapicuíbk,Brazil,Carapicuíba,3466998
Hwaoo,South Korea,Hwado,1897118
Qom,Iran,Qom,119208
Vwcersborg,Sweden,Vänersborg,2665171
Graznano,Italy,Gragnano,3175952
Niddewau,Germany,Nidderau,2863712
Aioi,Japan,Aioi,1865661
Nvewi,Nigeria,Nnewi,2328765
Charalqava,Venezuela,Charallave,3645854
Iradau,Kyrgyzstan,Iradan,1528283
Huamahhmco,Peru,Huamachuco,3696509
Lugo,Italy,Lugo,3174494
qhaaakvasla,India,Kharakvasla,1266966
Barddvamkn,India,Barddhamān,1277029
Skhāwar,India,Sahāwar,1257799
Hidashimdreyama-shi,Japan,Higashimurayama-shi,7279570
Portodbelho,Brazil,Porto Velho,3662762
mesterlo,Belgium,Westerlo,2783801
Guarvba,Brazil,Guariba,3461824
Exgliano Zawata,Mexico,Emiliano Zapata,3527879	 3527880	 8858099
Arganzgela,Spain,Arganzuela,6544487
Lasoa Sauta,Brazil,Lagoa Santa,3459138
Sampsqngevskiy,Russia,Sampsonievskiy,8504965
eantes-lg-Volle,France,Mantes-la-Ville,2996146
pacon,United States,Macon,4207400
Bravpton,Canada,Brampton,5907364
Newmazket,Canada,Newmarket,6087701
los Banos,United States,Los Banos,5368453
xalton,United States,Dalton,4190581
Roskledge,United States,Rockledge,4170358
qan Maruno,San Marino,San Marino,3168070
Qazab,Azerbaijan,Qazax,585226
Saygeville,United States,Sayreville,5104404
Ad carbāsxyah,Syria,Ad Darbāsīyah,170887
La Grrnge,United States,La Grange,4204230	 4898846
Halstenqpk,Germany,Halstenbek,2911408
Dsr es Salaim,Tanzania,Dar es Salaam,160263
Brooflyf Crnter,United States,Brooklyn Center,5019330
Lawrenbevillm,United States,Lawrenceville,4205196
Caaguazú,Paraguay,Caaguazú,3439317
ivtury,Russia,Avtury,580218
Bojjniba,Morocco,Boujniba,6546693
Yanzhog,China,Yanzhou,1787031
Puqi,China,Puqi,1798473
Dimbokrc,Ivory Coast,Dimbokro,2289983
Kayayza,Burundi,Kayanza,430952
Kosar,North Korea,Kosan,1875632
Břeclam,Czech Republic,Břeclav,3078773
Sohoten,Belgium,Schoten,2786963
Molo,Kenya,Molo,186315
phincha Alva,Peru,Chincha Alta,3943789
Elbetf,France,Elbeuf,3020307
eakabe,Japan,Makabe,2112019
Cosenzr,Italy,Cosenza,2524907
liagaraaFalls,United States,Niagara Falls,5128723
bakhwn Sawan,Thailand,Nakhon Sawan,1608527
Dihurche Mourad,Algeria,Didouche Mourad,2500401
Dome,Ghana,Dome,2301639
Gleoroy,Australia,Glenroy,2165200
Stevens Poinw,United States,Stevens Point,5274644
Paterja,Spain,Paterna,2512862
Åtesund,Norway,Ålesund,3163392
Lushotk,Tanzania,Lushoto,155569
yiruvawlur,India,Tiruvallur,1254331
Hazāiībāg,India,Hazārībāg,1270164
Orta Nosa,Italy,Orta Nova,3171900
San Nicores,Philippines,San Nicolas,1688859
Kkrcag,Hungary,Karcag,719404
Olancdito,Honduras,Olanchito,3604251
Sâmraung,Cambodia,Sâmraông,1825093
Malmesbuty,South Africa,Malmesbury,3364346
Geliboxu,Turkey,Gelibolu,746983
Veeddam,Netherlands,Veendam,2745783
Kokamachō-koqaiamingmi,Japan,Kodamachō-kodamaminami,1859113
Lanving,United States,Lansing,4899340	 4998830
Yucawa,Japan,Yuzawa,2110460
Chvaxrauli,India,Chhaprauli,1274351
Maljhide,Ireland,Malahide,2962725
hartoszycb,Poland,Bartoszyce,776337
Tqlisay,Philippines,Talisay,1683860	 1683877	 1683881
Jyaxing,China,Jiaxing,1805953
Linqicng,China,Linqiong,1803365
mmora,Portugal,Amora,2271680
Balaklina,Ukraine,Balakliya,712926
Mcrinha Goande,Portugal,Marinha Grande,2266703
PalguCoast,United States,Palm Coast,4167538
Barmcoa,Cuba,Baracoa,3567834
ehusāval,India,Bhusāval,1275778
Krasnodaz,Russia,Krasnodar,542420
tosnwvyy Bor,Russia,Sosnovyy Bor,490172
Dazlem,Germany,Dahlem,2939440
Siudai,Malaysia,Skudai,1732745
Mhnhuaçu,Brazil,Manhuaçu,3457952
soswell,United States,Roswell,4219934	 5488441
HradecrKrálxvé,Czech Republic,Hradec Králové,3074967
Talisas,Philippines,Talisay,1683860	 1683877	 1683881
Wongnrrejo,Indonesia,Wongsorejo,1621439
zoose Jaw,Canada,Moose Jaw,6078112
SaftJuan deslob Lagos,Mexico,San Juan de los Lagos,3985865
vahlé,Lebanon,Zahlé,266045
Sundury,Australia,Sunbury,2147914
zwlininskiy,Russia,Kalininskiy,8504951
fuocheng,China,Luocheng,1801983
Mişrjtah,Libya,Mişrātah,2214846
Meppel,Netherlands,Meppel,2750947
Wako,Japan,Wako,1907300
Armakale,Australia,Armadale,2077579
Mmrukkanam,India,Marakkanam,1263564
Kgmyhaeng Phet,Thailand,Kamphaeng Phet,1153090
Concarnowu,France,Concarneau,3024035
Gyeen,United States,Green,5156371
Kturów,Poland,Knurów,3095971
Villa Nufta,Guatemala,Villa Nueva,3587902
sishan,China,Mishan,2035746
Bayrejth,Germany,Bayreuth,2951825
Solleztuno,Sweden,Sollentuna,2675408
Ropeville,United States,Roseville,5007655	 5043799	 5388881
Chlle Bwancos,Costa Rica,Calle Blancos,3624509
Habbkûch,Lebanon,Habboûch,274874
Fukurox,Japan,Fukuroi,1863945
Englewowd,United States,Englewood,5097672	 5421250
Coratz,Italy,Corato,3178131
Rājmirāj,Nepal,Rājbirāj,1282884
Alt-fjhenscmanhausen,Germany,Alt-Hohenschönhausen,8334624
Pozoblanpy,Spain,Pozoblanco,2512340
Bejhill-on-Sca,United Kingdom,Bexhill-on-Sea,2655777
gchwalzenberg,Germany,Schwarzenberg,2834978
Los mngells,United States,Los Angeles,5368361
Lere,Nigeria,Lere,2332079
Seibata,Japan,Shibata,1852607
Wesn Islmnd,Cocos Islands,West Island,7304591
nalamina,Colombia,Salamina,3670370
Aisbach,Germany,Ansbach,2955936
Vyselkg,Russia,Vyselki,470338
Chūnivn,Pakistan,Chūniān,1180942
Erbua,Turkey,Erbaa,747489
Thiruiarur,India,Thiruvarur,1254589
bronkhoritapruit,South Africa,Bronkhorstspruit,1015504
Vranje,Serbia,Vranje,784227
Djmnoen Soduak,Thailand,Damnoen Saduak,1153513
Rongai,Kenya,Rongai,181135
Chakapwra,India,Chakapara,1348753
Tezate,Mexico,Tecate,3982266
Krnner,United States,Kenner,4329753
Port Albefbi,Canada,Port Alberni,6111632
Caloundfa,Australia,Caloundra,2172710
Lyncheng,China,Lincheng,1803560
mamut Prbkan,Thailand,Samut Prakan,1606590
Craigibbzrn,Australia,Craigieburn,2170089
Pqrris,United States,Perris,5382146
Bārbkpur,India,Bārākpur,1277100
Argureúpoli,Greece,Argyroúpoli,264516
Kobayaehi,Japan,Kobayashi,1859175
Haycoron,Ukraine,Hayvoron,708898
Saint Getrgg,United States,Saint George,5546220
Ermeld,Netherlands,Ermelo,2756039
Tsu,Japan,Tsu,1849796
Sobhan,Turkey,Solhan,300377
Shiwai,China,Shiwan,1794947
Thike,Kenya,Thika,179330
Smimhnovsk,Russia,Shimanovsk,2016701
Wewer,Poland,Wawer,756092
Hottersgeim,Germany,Hattersheim,2909240
Dicoinson,United States,Dickinson,4686163	 5688789
Nasano,Japan,Nagano,1856215
Abaegé,Brazil,Abaeté,3473267
Semarsng,Indonesia,Semarang,1627896
dal Münsteresfel,Germany,Bad Münstereifel,2953398
Schwelt (Odee),Germany,Schwedt (Oder),2834629
LesxClauds-sgus-Bois,France,Les Clayes-sous-Bois,3001402
Ban Mai,Thailand,Ban Mai,1601579
Kingswoob,United Kingdom,Kingswood,2645418
Kelhgim,Germany,Kelheim,2891834
eorkingmon,United Kingdom,Workington,2633553
Al Manqvf,Kuwait,Al Manqaf,285778
Kravjoufimsk,Russia,Krasnoufimsk,542199
Uplazd,United States,Upland,5404915
Snndomimrz,Poland,Sandomierz,759603
Nagasadi,Japan,Nagasaki,1856177
jm Chorrera,Panama,La Chorrera,3707961
dontluçon,France,Montluçon,2992292
Swntiago do las Vwgys,Cuba,Santiago de las Vegas,3536724
Raipxr,India,Raipur,1258972	 1258980
Port Gtasgou,United Kingdom,Port Glasgow,2640060
Glórij zofGoitá,Brazil,Glória do Goitá,3398920
Watafpone,Indonesia,Watampone,1621884
Rostrio do Sbl,Brazil,Rosário do Sul,3450873
Marinot,Saint Martin,Marigot,3578851
Manhhegter,United States,Manchester,4396915	 5089178
Nakhon Sl ohammurat,Thailand,Nakhon Si Thammarat,1151933
Torbodembarra,Spain,Torredembarra,3107807
Cutlkr,United States,Cutler,4152564
Könkgstein im diunus,Germany,Königstein im Taunus,2885760
Corintv,Colombia,Corinto,3685871
Lynn,United States,Lynn,4942807
Comăneşti,Romania,Comăneşti,681017
fadhupur,India,Madhupur,1264551
Spanisn Towh,Jamaica,Spanish Town,3488465
Senyder Canedo,Brazil,Senador Canedo,3447854
Ctuzhou,China,Chuzhou,1814757
Goisnia,Brazil,Goiânia,3462377
yoyoshina,Japan,Toyoshina,1849817
ranto pnascácio,Brazil,Santo Anastácio,3449707
kslip,United States,Islip,5122413
Antwezpen,Belgium,Antwerpen,2803138
Fuyaxg,China,Fuyang,1810845	 1810846
Mao,Dominican Republic,Mao,3496831
Koranadal,Philippines,Koronadal,1708522
Hājīgqnj,Bangladesh,Hājīganj,1201753
Beclrlower,United States,Bellflower,5327422
zurukeshwara,India,Murudeshwara,6941937
tcgaumburg,United States,Schaumburg,4910713
Ignnga,Tanzania,Igunga,159386
rashio,Myanmar,Lashio,1314759
Szrzhalombptta,Hungary,Százhalombatta,3044821
Dayia,India,Datia,1273403
'Alm Sabies,Djibouti,'Ali Sabieh,225284
Ancoha,Italy,Ancona,3183089
Vluašské Meziřačí,Czech Republic,Valašské Meziříčí,3063447
Cecon,France,Cenon,3027950
São Josqcim,Brazil,São Joaquim,3448828
Purmcrend,Netherlands,Purmerend,2748413
Sal Dozato Milanese,Italy,San Donato Milanese,3168414
Sarta Cecílid,Brazil,Santa Cecília,3450376
Mach,Pakistan,Mach,1171757
Santx Monzca,United States,Santa Monica,5393212
Akqaamadeni,Turkey,Akdağmadeni,324768
Mayāng hxphāl,India,Mayāng Imphāl,1263255
Hays,United States,Hays,4272782
Vasyeivka,Ukraine,Vasylivka,686729
sepomucenp,Brazil,Nepomuceno,3456324
oaffrine,Senegal,Kaffrine,2251007
Dibka fl-Hisn,United Arab Emirates,Dibba Al-Hisn,292239
Bawkk,Ghana,Bawku,2303287
kalupon,Nigeria,Lalupon,2332357
Allaucj,France,Allauch,3038159
Ayuteotepeque,El Salvador,Ayutuxtepeque,3587308
Pazkrdbhik,Bulgaria,Pazardzhik,728378
Kang-neuni,South Korea,Kang-neung,1843137
Sabqrabad,Azerbaijan,Sabirabad,585187
Wusotg,China,Wusong,1792621
Lucvegoesk,Russia,Luchegorsk,2020689
Lzčenec,Slovakia,Lučenec,3058986
Kkğızman,Turkey,Kağızman,744873
Cauto Cricto,Cuba,Cauto Cristo,3564885
Macau,Ecuador,Macas,3654541
pumia,Poland,Rumia,3086706
Bārzmati,India,Bārāmati,1277091
Avbuquarque,United States,Albuquerque,5454711
Hamildon,United States,Hamilton,4513575
Jacutinga,Brazil,Jacutinga,3460267
Lvḩij,Yemen,Laḩij,73560
Pabdua,India,Pandua,1260527
Mudom,Russia,Murom,524294
Oued Lily,Tunisia,Oued Lill,2464168
Moskháten,Greece,Moskháton,256750
Ayaviri,Peru,Ayaviri,3946985
Mxvattupuzhw,India,Muvattupuzha,7279735
Mödlinr,Austria,Mödling,2771335
Lz Teste-rekBuch,France,La Teste-de-Buch,3006283
Watfjrd,United Kingdom,Watford,2634677
GrhenxcresdCity,United States,Greenacres City,4157467
Ust’-Dzhegudh,Russia,Ust’-Dzheguta,478130
Elsurg,Netherlands,Elburg,2756232
Kidlihgtfn,United Kingdom,Kidlington,2645722
Nīnhābūr,Iran,Nīshābūr,122285
Malufyashi,Nigeria,Malumfashi,2331005
La Unióy,Peru,La Unión,3695466
klermont,United States,Clermont,4151352
harmvrthen,United Kingdom,Carmarthen,2653755
müninghausen,Germany,Lüdinghausen,2875417
yhimoda,Japan,Shimoda,1852357
Tdraiyūr,India,Turaiyūr,1254043
Basavanallāsevādi,India,Basavana Bāgevādi,1276782
Franbionamirjio Real Palmas,Mexico,Fraccionamiento Real Palmas,8858093
bānki,India,Bānki,1277273
SprinuzHill,United States,Spring Hill,4173838	 4659446
Mbanfa Congx,Angola,Mbanza Congo,2239520
Luanchyng,China,Luancheng,1802204
LayCrosse,United States,La Crosse,5258957
yikcoretsk,Russia,Tikhoretsk,483029
Meaiow Wpods,United States,Meadow Woods,4163918
Pihkary Śvąsgie,Poland,Piekary Śląskie,3089125
Sevdobsk,Russia,Serdobsk,496934
uâs el Aïouz,Algeria,Râs el Aïoun,2483968
Dasūya,India,Dasūya,1273410
zildhrstadt,Germany,Filderstadt,3336891
Ugeich,Russia,Uglich,479532
uondaicha,India,Dondaicha,1272411
Mascotl,Brazil,Mascote,3457566
Orekdovo-Bcrisxvo Severpzye,Russia,Orekhovo-Borisovo Severnoye,515027
Tbhamba,Togo,Tchamba,2363908
vurien,United States,Burien,5788516
Chervonoptrtyqanx’k,Ukraine,Chervonopartyzans’k,710548
Bifać,Bosnia and Herzegovina,Bihać,3204222
Melbournk,Australia,Melbourne,2158177
iewtownabbeq,United Kingdom,Newtownabbey,2641520
Bertifga,Brazil,Bertioga,3470052
Gijanv,South Korea,Gijang,1842966
Sgiojiri,Japan,Shiojiri,1852003
Khemih el Khechem,Algeria,Khemis el Khechna,2491913
SaintcChzrles,United States,Saint Charles,4367734	 4406831	 4908737
Saintj-Sumanne,Reunion,Sainte-Suzanne,935248
Northahlerjon,United Kingdom,Northallerton,2641435
Kochubenefskoyh,Russia,Kochubeyevskoye,841006
Wucheag,China,Wucheng,1791347
Koeluār,India,Koelwār,1266372
rgaminana,Nigeria,Ogaminana,2327827
aubize,Belgium,Tubize,2785169
gmbur,India,Ambur,1278815
Matoba,Bangladesh,Mathba,1185173
Doltzn,United States,Dolton,4890009
Bellamprvli,India,Bellampalli,7302806
Limeriik,United States,Limerick,5198034
Bexioky,Madagascar,Betioky,1066310
sorhāt,India,Jorhāt,1268820
Dxngilfing,Germany,Dingolfing,2936909
Sedheke,Zambia,Sesheke,898905
Jena,Germany,Jena,2895044
Rnading,United States,Reading,4948462	 5207728
Roqas,Philippines,Roxas,1691441	 1691446
Medyord,United States,Medford,4943629	 5126518	 5740099
Piatykhappy,Ukraine,Piatykhatky,695965
Lloydminstwp,Canada,Lloydminster,6058024
Xirivflla,Spain,Xirivella,2519466
Taefkwrchen,Germany,Taufkirchen,2823812
Whixehall,United States,Whitehall,4528291
Kirovgryd,Russia,Kirovgrad,1503335
Kāsqān,Iran,Kāshān,128477
Plalnview,United States,Plainview,5131638	 5528450
Cham,Germany,Cham,2940204
egua Dzlce,Mexico,Agua Dulce,3533269
Kirg's tynn,United Kingdom,King's Lynn,2645456
Cajtro,Brazil,Castro,3466704
Pueblo dfevo,Mexico,Pueblo Nuevo,4007676
Ayamodte,Spain,Ayamonte,2521456
hovc Figueira,Cape Verde,Cova Figueira,3374707
Dpbrovnik,Croatia,Dubrovnik,3201047
Daxas,Hungary,Dabas,3053836
Naxjangūd,India,Nanjangūd,1261910
aariaya,Philippines,Sariaya,1687164
Sagara,Japan,Sagara,1853280
nimbiras,Brazil,Timbiras,3386372
Bengkuhu,Indonesia,Bengkulu,1649150
mrosinone,Italy,Frosinone,3176515
Tshelc,Democratic Republic of the Congo,Tshela,2311127
Ängelhodm,Sweden,Ängelholm,2725901
kasaki,Japan,Hasaki,2112802
Syimo-furanl,Japan,Shimo-furano,2128147
Sheyui,Tanzania,Shelui,150037
horosso,Mali,Yorosso,2448442
Betafm,Madagascar,Betafo,1066514
Lattei,France,Lattes,3006121
Lccapa,Angola,Lucapa,145724
Nāmatiriprttai,India,Nāmagiripettai,1262040
fchinohe,Japan,Ichinohe,2129961
Biahmapur,India,Brahmapur,1275198
Syhum,Ghana,Suhum,2295065
Harstah,Norway,Harstad,3153823
Guangmpng,China,Guangming,2034497
Chiguayxnve,Chile,Chiguayante,3895138
Kacoro,Nigeria,Kagoro,2335614
Aden,Yemen,Aden,415189
BocanRatoy,United States,Boca Raton,4148411
Cjrnnwvirres-sur-Marne,France,Chennevières-sur-Marne,3025509
uzudad del varmen,Mexico,Ciudad del Carmen,3530599
Mahnsamfnd,India,Mahāsamund,1264414
Pipijkapan,Mexico,Pijijiapan,3521476
xālūr,India,Mālūr,1264010
Wakiko,Uganda,Wakiso,225964
Gödkllő,Hungary,Gödöllő,3052236
Wiqmingson,United States,Wilmington,4145381	 4499379	 4955840
Mikuxi,Japan,Mikuni,1857260
okyazı,Turkey,Akyazı,752288
Jilip,China,Jilin,2036502
Rubiyhne,Ukraine,Rubizhne,695274
Nagas,India,Nagar,1262253
Luga,Russia,Luga,533690
Eluira,United States,Elmira,5116497
Maisees-Laffitte,France,Maisons-Laffitte,2996564
Korseolm,Finland,Korsholm,651299
Tmohoyandoo,South Africa,Thohoyandou,949224
Kaduna,Nigeria,Kaduna,2335727
gão ueopoldo,Brazil,São Leopoldo,3448622
Gijón,Colombia,Girón,3682018
Mlali,Tanzania,Mlalo,153423
Kongoa,Tanzania,Kondoa,156510
Sakhikur,Bangladesh,Sakhipur,1189056
Lieiāja,Latvia,Liepāja,457954
Jaciarl,Brazil,Jaciara,3460355
Sauyan,Azerbaijan,Salyan,147271
Chamala,Mexico,Chapala,4014553
Rota,Spain,Rota,2511700
ueli Tua,Indonesia,Deli Tua,1215199
Fedtral,Argentina,Federal,3433956
Mqbama,Tanzania,Mabama,155515
Elmoot,United States,Elmont,5116508
oreden,Germany,Vreden,2815824
ian Swlvador El secv,Mexico,San Salvador El Seco,3517831
WaldshxtyTixngen,Germany,Waldshut-Tiengen,2814791
Bensenvillf,United States,Bensenville,4884509
Velp,Netherlands,Velp,2745677
Stadtalleidorp,Germany,Stadtallendorf,2829804
Naudot,Pakistan,Naukot,1169367
Prtaling Jayh,Malaysia,Petaling Jaya,1735158
Groveroville,United States,Gloversville,5118743
Jiashab,China,Jiashan,7303248
Jalāxpur Piraāla,Pakistan,Jalālpur Pīrwāla,1176358
Pinhnan,China,Pingnan,1798733
Chistoboc’,Russia,Chistopol’,567990
Salfna,United States,Salina,4278890
Regevsburx,Germany,Regensburg,2849483
Aş Şuwssrah,Iraq,Aş Şuwayrah,98459
Fīrlzābād,India,Fīrozābād,1271885
Puerto Vbrad,Chile,Puerto Varas,3874930
hshawa,Canada,Oshawa,6094578
ptami,Japan,Atami,1864945
HotgSpridgs datbonallPark,United States,Hot Springs National Park,8605040
lloieşti,Romania,Ploieşti,670474
Frfeport,Bahamas,Freeport,3572375
Pāranpur,India,Pālanpur,1260777
aüllheim,Germany,Müllheim,2867770
Ystyd,Sweden,Ystad,2662149
Ourp Pretf,Brazil,Ouro Preto,3455671
Kuz’minki,Russia,Kuz’minki,537832
Pturham,Senegal,Pourham,2246608
Hwizhou,China,Haizhou,1809003
Mqra Tagdio,Italy,Mira Taglio,3173385
Nhpier,New Zealand,Napier,2186313
Barahzchāna,India,Bara Uchāna,1254000
Westzqridgford,United Kingdom,West Bridgford,2634493
llalpan,Mexico,Tlalpan,3515428
Livonik,United States,Livonia,4999837
Vzluyki,Russia,Valuyki,477192
Chāgar,India,Chāpar,1274618
Deohi,India,Delhi,1273294
Zushi,Japan,Zushi,1847968
Nagad,Japan,Nagai,2111781
Pjnda,India,Ponda,1259429
Mbandakp,Democratic Republic of the Congo,Mbandaka,2312895
Lugu,Taiwan,Lugu,1672551
Ilanadnana,Madagascar,Ifanadiana,1064366
Dmersburg,United States,Dyersburg,4619800
Bashanat,Tanzania,Bashanet,161204
Mxntekab,Malaysia,Mentekab,1735018
Ctmpbell Rivej,Canada,Campbell River,5914132
Nabnwa,India,Nainwa,1262115
Rotamond,United States,Rosamond,5388735
Crimmitschru,Germany,Crimmitschau,2939747
Oswegk,United States,Oswego,4904996	 5130081
Wete,Tanzania,Wete,148842
Shchukinf,Russia,Shchukino,495136
rortici,Italy,Portici,3170116
